Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;rezult1t
202;Osnovni dijelovi neupravnog akta su:;Zaglavlje, lično/osobno ime odnosno naziv i adresa primaoca/primatelja, kratka oznaka predmeta, tekst akta, potpis ovlaštenog/ovlašćenog službenog lica/osobe i otisak službenog pečata;Zaglavlje, lično/osobno ime odnosno naziv i adresa primaoca/primatelja, kratka oznaka predmeta, tekst akta, potpis ovlaštenog/ovlašćenog službenog lica/osobe i otisak službenog pečata, vezu brojčanih oznaka, naznaku priloga/privitka, kome se akt dostavlja osim primaocu/primatelju i drugo;Zaglavlje, naziv i adresa pošiljaoca/pošiljatelja, naziv i adresa primaoca/primatelja, kratki sadržaj predmeta, broj protokola i broj klasifikacione/klasifikacijske oznake, otisak službenog pečata, naziv funkcije i potpis ovlaštenog/ovlašćenog lica/osobe;Zaglavlje, podnožje, potpis i pečat;;;1
203;Zaglavlje akta sadrži sljedeće podatke:;Memorandum, broj predmeta, broj akta, datum/nadnevak i sjedište organa/tijela;Naziv Bosna i Hercegovina, Brčko distrikt Bosne i Hercegovine, broj akta, datum/nadnevak donošenja akta i sjedište organa/tijela;Naziv Brčko distrikt Bosne i Hercegovine, puni naziv organa/tijela uprave, odnosno stručne službe, broj akta, datum/nadnevak donošenja akta i sjedište organa/tijela.         ;;;;1
204;Gdje se na omotu za predmete i akte stavlja otisak prijemnog štambilja:;Na prvoj stranici omota za predmete i akte u gornjem desnom uglu/kutu;Na prvoj stranici omota za predmete i akte u gornjem lijevom uglu/kutu;Na prvoj stranici omota za predmete i akte u gornjem desnom uglu/kutu, a ako nema dovoljno mjesta u gornjem lijevom uglu/kutu na poleđini omota ili na komadu čistog papira;;;;2
205;Službenik ovlašten/ovlašćen za rješavanje predmeta i akata sve riješene predmete i akte vraća pisarnici putem:;Interne dostavne knjige;Arhivske knjige;Knjige za otpremu pošte putem kurira;;;;1
206;U smislu kancelarijskog/uredskog poslovanja predmet je:;Skup svih pismena, priloga/privitaka i drugih dokumenata koji se odnose na isto pitanje ili zadatak/zadaću i čini posebnu i samostalnu cjelinu;Svaki pisani sastav kojim se pokreće dopunjava, mijenja, prekida ili završava neka službena radnja organa/tijela uprave;Pisani sastav (dokument, tabela/tablica, grafikon i slično) koji se odnosi na istu materiju ili isto pravno ili fizičko lice/osobu i koji se kao jedna cjelina čuva na istom mjestu;;;;1
207;Nadzor nad primjenom Odluke o e-kancelarijskom / e-uredskom poslovanju organa/tijela javne uprave Brčko distrikta BiH i drugih propisa o kancelarijskom/uredskom poslovanju, uključujući i poslove koje obavlja arhivar u priručnoj arhivi/pismohrani vrši:;Apelaciona komisija/Apelacijsko povjerenstvo;Šef Pododjeljenja/predstojnik Pododjela pisarnice sa zajedničkim poslovima;Upravni inspektor;Šef Odjeljenja/predstojnik Odjela za javni registar;;;3
208;Osnovna knjiga evidencije je:;Arhivska knjiga;Knjiga za ličnu/osobnu poštu;Knjiga ulaznih računa;;;;1
209;U koju grupu/skupinu spadaju sve vrste predmeta i akata koji se odnose na organizaciju i rad organa/tijela uprave i stručnih službi, javne ustanove, fondacije i zaklade, zastave, grb, himnu, političke stranke/partije, referendume, organizaciju i (s)provođenje izbora, odlikovanja i druga priznanja, udruženja/udruge građana, pečate, štambilje i žigove, ovjeravanje potpisa, rukopisa i pr(ij)episa, ovjeravanje poslovnih knjiga, obavljanje upravnih poslova, lokalne samouprave i drugih stručnih poslova, upravni nadzor, javne i vjerske skupove, informacije, izvještaje/izvješća, analize i druge materijale i druge predmete i akte koji se odnose ili su u (s)vezi s pitanjima iz ove grupe/skupine:;3;6;11;5;;;4
210;U koju grupu/skupinu spadaju sve vrste predmeta i akata koji se odnose na izdavanje odobrenja za vršenje zanatske djelatnosti, prestanak rada zanatskih radnji, registar zanatskih radnji, inspekcijski nadzor i druge predmete i akte koji se odnose ili su u (s)vezi s pitanjima iz ove grupe/skupine:;20;11;7;1;;;1
211;Ako se u nekom predmetu obrađuje materija koja se odnosi na dvije ili više klasifikacionih/klasifikacijskih oznaka, na koji će se način izvršiti razvrstavanje:;Na klasifikacionu/klasifikacijsku oznaku čiji je sadržaj prvi naveden;Na klasifikacionu/klasifikacijsku oznaku na čiju se sadržinu odnosi pretežni dio pitanja;Na bilo koju klasifikacionu/klasifikacijsku oznaku;;;;2
212;Podgrupe/podskupine za svaku klasifikacionu/klasifikacijsku oznaku grupe/skupine određuje:;Rukovodilac organa/rukovoditelj tijela uprave;Svaki organ/tijelo uprave i stručne službe, samostalno;Gradonačelnik, na prijedlog Komisije/Povjerenstva;Upravni inspektor;;;3
213;Službenik koji prima poštu neposredno od stranke, sa podneskom koji nije uredno taksiran postupit će na sljedeći način:;Upozorit će stranku, ali će prihvatiti takav podnesak uz službenu zabilješku;Odbit će prijem takvog zahtjeva;Prihvatit će podnesak ali će usmeno upozoriti nadležno lice/osobu za rješavanje predmeta;;;;1
214;Primanje pošte putem dostavljača (kurira) potvrđuje se:;Stavljanjem datuma/nadnevka, pečata i čitkog potpisa službenog lica/osobe ovlaštene za prijem pošte u Knjigu za otpremu pošte putem kurira;Stavljanjem datuma/nadnevka i čitkog potpisa službenog lica/osobe ovlaštene za prijem pošte u Knjigu za otpremu pošte putem kurira;Stavljanjem datuma/nadnevka, pečata i čitkog potpisa službenog lica/osobe ovlaštene za prijem pošte i potpisa kurira u Knjigu za otpremu pošte putem kurira;;;;2
215;Pravo na naplatu takse zastarijeva:;za 1 godinu od isteka godine u kojoj je taksu trebalo platiti;za 2 godine od isteka godine u kojoj je taksu trebalo platiti;za 3 godine od isteka godine u kojoj je taksu trebalo platiti;za 6 mjeseci od isteka godine u kojoj je taksu trebalo platiti;;;2
216;Da li organ/tijelo uprave odnosno stručna služba može voditi više djelovodnika predmeta i akata iste vrste predmeta:;Da;Ne;Može ako je naloženo od strane nadležnog arhiva;;;;1
217;Djelovodnik predmeta i akata se zaključuje na kraju kalendarske godine (31. decembar/prosinac) na način propisan:;Odlukom;Uputstvom/Naputkom;Instrukcijom;;;;2
218;Pri određivanju sadržaja stvarnih predmeta treba se držati sljedećih pravila:;Navodi se samo kratak sadržaj stvari o kojoj se u aktu raspravlja;Navodi se prezime, ime i prebivalište (za fizička lica/osobe), odnosno naziv i sjedište (za pravna lica/osobe) i kratak sadržaj pitanja koje se odnosi na akt;Navodi se detaljan opis sadržaja stvari o kojoj se u aktu raspravlja;;;;1
219;Da li se u sadržaju teksta akta mogu upotrebljavati skraćenice:;Da;Ne;Da, ali samo one skraćenice koje su uobičajene i lako razumljive.;;;;3
220;Koliko je klasifikacionih/klasifikacijskih oznaka propisano Uputstvom/Naputkom o načinu vršenja kancelarijskog/uredskog poslovanja organa/tijela uprave i stručnih službi Brčko distrikta Bosne i Hercegovine?;48;52;39;44;;;1
221;Kojom bojom se označavaju rubovi omota spisa kojim se pokreće upravni postupak prvostepenog organa/prvostupanjskoga tijela po zahtjevu stranke?;Crvenom;Žutom;Zelenom;Plavom;;;3
222;Koliko ima osnovnih knjiga evidencije?;3;2;5;8;;;3
223;Navedi pomoćnu knjigu evidencije?;Arhivska knjiga;Knjiga za ličnu/osobnu poštu;Djelovodnik predmeta i akata;Svaka sveska/bilježnica A4 formata, tvrdih korica;;;2
224;Na koji način se dostavljaju računi i drugi finansijski/financijski akti koji se odnose na Finansijsko/financijsko i materijalno poslovanje organa/tijela uprave?;Putem interne knjige;Putem knjige primljenih računa;Elektronskim/elektroničkim putem;Putem knjige za ličnu/osobnu poštu;;;2
225;Kada službeno lice/osoba ovlaštena za prijem primi poštu koja se odnosi na licitacije, konkurse/natječaje ili drugu poštu koja se otvara na mjestu, u vrijeme i na način određen posebnim propisom uradit će sljedeće:;Otvorit će zatvorenu kovertu/kuvertu/koverat i u knjigu evidentirati vrijeme dostave;Neće otvoriti zatvorenu kovertu/kuvertu/koverat;Otvorit će zatvorenu kovertu/kuvertu/koverta i na priloženi akt stavlja otisak prijemnog štambilja;Otvorit će zatvorenu kovertu/kuvertu/koverat i na priloženi akt stavlja otisak prijemnog štambilja, te ponovo zatvoriti kovertu/kuvertu/koverat;;;2
226;Broj predmeta je sastavljen od:;Klasifikacione/klasifikacijske oznake prema sadržaju, rednog broja predmeta i godine nastanka;Organizacione/organizacijske jedinice, klasifikacione/klasifikacijske oznake prema sadržaju, rednog broja predmeta i godine nastanka;Organizacione/organizacijske jedinice, klasifikacione/klasifikacijske oznake prema sadržaju i godine nastanka;Organizacione/organizacijske jedinice, klasifikacione/klasifikacijske oznake prema sadržaju i datuma/nadnevka.;;;1
227;Pisarnica u organima/tijelima uprave može se organizovati/organizirati kao:;Osnovna i kao radno mjesto;Zajednička, vlastita i radno mjesto;Samo kao radno mjesto;Bilo koja radna prostorija;;;2
228;Osnovne knjige evidencije su:;Upisnik prvostepenih/prvostupanjskih predmeta upravnog postupka, Upisnik drugostepenih/drugostupanjskih predmeta upravnog postupka, djelovodnik predmeta i akta i knjiga za otpremu pošte putem kurira;Upisnik prvostepenih/prvostupanjskih predmeta upravnog postupka, Upisnik drugostepenih/drugostupanjskih predmeta upravnog postupka, djelovodnik predmeta i akta, djelovodnik za povjerljivu i strogo povjerljivu poštu i arhivska knjiga;Upisnik prvostepenih/prvostupanjskih predmeta, knjiga primljenih računa, djelovodnik predmeta i akta, arhivska knjiga;;;;2
229;Dokument je:;Izvorni ili reprodukovani/reproducirani dokumentarni materijal od trajne vrijednosti značajan za (h)istoriju/povijest i druge naučne/znanstvene oblasti, te za druge društvene potrebe, a koji je nastao u radu nekog organa/tijela uprave;Izvorni ili reprodukovani/reproducirani materijal, pisani, crtani, filmski i slično, dokumentarni materijal koji je nastao u radu nekog organa/tijela uprave sve dok se iz njega ne odabere arhivska građa;Svaki podatak, odnosno svaki napisani, umnoženi, nacrtani, slikovni, štampani/tiskani, snimljeni, magnetni, optički, elektronski/elektronički ili bilo koji drugi zapis podataka, fizički predmet, saopćenje/priopćenje/saopštenje ili informacija, koji sadržajem i strukturom čini prepoznatljivu i jednoobraznu cjelinu povezanih podataka;Svaki papir na kome je nešto zapisano;;;3
230;Podnesak je:;Pismeno kojim stranka pokreće postupak, dopunjuje, mijenja svoj zahtjev, odnosno drugo traženje ili od tog odustaje;Skup priloga/privitaka koji se odnose na istu cjelinu, isto lice/osobu, organ/tijelo ili zadatak/zadaću;Pisani sastav ili slikovni prikaz, kojim se odgovara na zahtjev stranke;Svaki pisani tekst;;;1
231;Registraturski/registraturni materijal je:;Izvorni ili reprodukovani/reproducirani dokumentarni materijal od trajne vrijednosti značajan za (h)istoriju/istoriju i druge naučne/znanstvene oblasti, te za druge društvene potrebe, a koji je nastao u radu nekog organa/tijela uprave;Izvorni ili reprodukovani/reproducirani materijal, pisani, crtani, filmski i slično, dokumentarni materijal koji je nastao u radu nekog organa/tijela  uprave sve dok se iz njega ne odabere arhivska građa;Izvorni ili reprodukovani/reproducirani materijal koji se predaje nadležnom arhivu na dalj(nj)e čuvanje;;;;2
232;Načelo tačnosti/točnosti nalaže:;Ob(a)vezu da svaki posao u kancelarijskom/uredskom poslovanju mora biti na vrijeme započet i u određenom roku završen;Ob(a)vezu da se svaki posao u kancelarijskom/uredskom poslovanju mora obavljati na najjednostavniji način i redoslijedom kako je propisano;Ob(a)vezu da se svaki kancelarijski/uredski posao mora obavljati isključivo na način i redoslijedom kako je propisano;;;;3
233;Načelo ekonomičnosti nalaže:;Da se pri izvršenju svake vrste kancelarijskog/uredskog poslovanja i u svakoj fazi njegovog obavljanja, uz što manje ulaganja sredstava, psihofizičkog napora i za što kraće vrijeme, postigne što bolji rezultat;Ob(a)vezu da svaki posao u kancelarijskom/uredskom poslovanju mora biti na vrijeme započet i u određenom roku završen uz što bolje rezultate;Ob(a)vezu da svaki posao u kancelarijskom/uredskom poslovanju mora biti na vrijeme započet i u određenom roku završen, uz što  manje  ulaganja  sredstava i psihofizičkog napora.;;;;1
234;Kancelarijsko/uredsko poslovanje obuhvata/obuhvaća sljedeće radnje:;Prijem, otvaranje, pregledanje, razvrstavanje i raspoređivanje pošte, klasifikovanje/klasificiranje pošte i evidencija predmeta, dostava predmeta u rad, lične/osobne pošte, službenih glasila i časopisa, primljenih računa i administrativno-tehnička obrada, otpremanje pošte, čuvanje predmeta, zaštita tajnosti podataka i razvođenje predmeta, arhiviranje i čuvanje predmeta do predaje nadležnom arhivu;Prijem, otvaranje, pregledanje, razvrstavanje i raspoređivanje pošte, klasifikovanje/klasificiranje pošte i evidencija predmeta, administrativno-tehnička obrada, otpremanje pošte, čuvanje predmeta, arhiviranje i čuvanje predmeta do predaje nadležnom arhivu;Prijem, otvaranje, klasifikovanje/klasificiranje pošte i evidencija predmeta, dostava predmeta u rad, lične/osobne pošte, službenih, primljenih računa i otpremanje pošte, čuvanje predmeta, zaštita tajnosti podataka, arhiviranje i čuvanje predmeta do predaje nadležnom arhivu;;;;1
235;Popis akata može se voditi:;Za zavođenje iste ili slične vrste akata za koje se vodi isti postupak i koji čine jednu cjelinu;Za zavođenje iste ili slične vrste akata za koje se ne mora voditi isti postupak;Za zavođenje one vrste akata za koje se vodi isti postupak i koje ne moraju činiti jednu cjelinu;;;;1
236;Pošta se prima:;Neposredno od stranke, putem kurira, putem poštanske službe i elektronskim/elektroničkim putem;Neposredno od stranke, putem poštanske službe i elektronskim/elektroničkim putem;Neposredno od stranke, putem kurira i putem poštanske službe;Putem BH pošte i pošte RS;;;1
237;Otpremanje pošte obavlja se:;Putem kurira, neposredno stranci i putem poštanske službe;Putem kurira, putem poštanske službe i elektronskim/elektroničkim putem;Putem kurira, neposredno stranci, putem poštanske službe i elektronskim/elektroničkim putem;;;;3
238;Rukovodilac organa/rukovoditelj tijela uprave određuje predmete za koje se vodi popis akata:;Na početku kalendarske godine rješenjem određuje predmete za koje se vodi popis akata;Na kraju kalendarske godine za sljedeću godinu rješenjem određuje predmete za koje se vodi popis akata;Na početku kalendarske godine odlukom određuje predmete za koje se vodi popis akata;;;;1
239;Razvođenje predmeta je postupak:;Evidentiranja statusa završenih predmeta u bazi dokumenata i u arhivskoj knjizi koje vrši arhivar;Evidentiranja statusa završenih predmeta u bazi dokumenata, koje vrši arhivar;Evidentiranja statusa završenih predmeta u bazi dokumenata, koje vrši lice/osoba koja je postupala po predmetu;;;;3
240;Ako službeno lice/osoba nakon otvaranja pošte utvrdi da pošta predstavlja službeno pismeno upućeno organu/tijelu uprave, dužno je to pismeno:;Najkasnije u roku od 24 sata/časa po prijemu vratiti pisarnici radi evidentiranja;Najkasnije u roku od 12 sati/časova po prijemu vratiti pisarnici radi evidentiranja;Bez odlaganja evidentirati u osnovne knjige evidencije;;;;1
241;Ako se u koverti/kuverti/kovertu nađe pismeno adresirano na neki drugi organ/tijelo uprave, pravno ili fizičko lice/osoba, službeno lice/osoba će postupiti na sljedeći način:;"Na koverti/kuverti/kovertu upisati zabilješku ""Vraćeno"" i  putem pošte vratiti pošiljaocu/pošiljatelju";"Na pismenu upisati zabilješku ""Pogrešno dostavljen"" i na najpogodniji način, kurirom ili putem pošte, dostaviti onom kome je upućeno";Zavesti u knjigu evidencije i na najpogodniji način dostaviti onom kome je upućeno.;;;;2
242;Ako je u jednoj koverti/kuverti/kovertu prispjelo više pismena uz koje bi trebalo priložiti kovertu/kuvertu/koverat, službeno lice/osoba će postupiti na sljedeći način:;Kovertu/kuvertu/koverat će se priložiti uz jedno pismeno, s tim što će se na ostalim pismenima napisati (za)bilješka da je više pismena zaprimljeno u jednoj koverti/kuverti/kovertu;Kovertu/kuvertu/koverat će se priložiti uz jedno pismeno, s tim što će se na ostalim pismenima upisati uz koje je pismeno priložena koverta/kuverta/koverat;Kovertu/kuvertu/koverat će kopirati i priložiti uz svako pismeno;;;;2
243;Ako se prilikom otvaranja pošte utvrdi da je uz pismeno priložen novac ili neka druga vrijednost, službeno lice/osoba će postupiti na sljedeći način:;Na primljenom pismenu uz otisak prijemnog štambilja ili na drugom pogodnom mjestu službenom (za)bilješkom konstatovati/konstatirati njihovu vrstu, iznos i svrhu ako je navedena;Sačiniti zapisnik u prisustvu još dva službenika u kome će konstatovati/konstatirati njihovu vrstu, iznos i svrhu ako je navedena;Na posebnom papiru uz prisustvo još dva službenika sačiniti (za)bilješku o nastaloj situaciji;;;;1
244;Brojčane oznake organizacionih/organizacijskih jedinica određuje:;Rukovodilac organa/rukovoditelj tijela uprave rješenjem koje se donosi krajem tekuće godine za narednu kalendarsku godinu;Gradonačelnik odlukom na početku godine;Gradonačelnik odlukom koja se donosi krajem tekuće godine za narednu kalendarsku godinu;;;;3
245;S brojčanim oznakama unutrašnjih organizacionih/organizacijskih jedinica i brojčanim oznakama autora i primaoca/primatelja pismena moraju biti upoznati:;Rukovodioci organa/rukovoditelji tijela uprave;Svi zaposleni u organima/tijelima uprave;Samo zaposleni u pisarnici radi dostavljanja pošte u rad;;;;2
246;Ako na prvoj stranici nema dovoljno mjesta, otisak prijemnog štambilja stavit će se:;Na omot predmeta;Na zadnjoj stranici pismena na pogodno mjesto, a ako su sve stranice pismena u potpunosti popunjene, otisak prijemnog štambilja stavit će se na prazan papir koji će se pričvrstiti uz pismeno;Otisak prijemnog štambilja stavit će se na prazan papir koji će se pričvrstiti uz pismeno, uz sačinjenu službenu (za)bilješku;Na prvoj stranici preko teksta;;;2
247;U koji omot se ulažu prvostepeni/prvostupanjski predmeti upravnog postupka po kojima se upravni postupak pokreće po službenoj dužnosti:;U omot označen plavom bojom;U omot označen žutom bojom;U omot označen zelenom bojom;U omot označen crvenom bojom;;;1
248;U koji omot se ulažu drugostepeni/drugostupanjski predmeti upravnog postupka:;U omot označen plavom bojom;U omot označen žutom bojom;U omot označen zelenom bojom;U omot označen crvenom bojom;;;2
249;U koji omot se ulažu predmeti koji su zavedeni u djelovodnik predmeta i akata:;U omot označen crvenom bojom;U omot označen plavom bojom;U omot označen bijelom bojom;Ne ulažu se u omot.;;;3
250;U koji omot se ulažu predmeti koji su zavedeni u djelovodnik za povjerljivu i strogo povjerljivu poštu:;U omot označen crvenom bojom;U omot označen bijelom bojom;U omot označen crnom bojom;Ne ulažu se u omot, nego se zatvaraju u kovertu/kuvertu/koverat;;;1
251;Službeno lice/osoba ovlaštena/ovlašćena za vođenje upravnog postupka preduzima/poduzima sljedeće radnje:;"Izrađuje nacrt upravnog akta, ""zaključuje"", štampa/tiska, potpisuje i ulaže u omot predmeta u fizičkom obliku, a akt pripremljen za potpis elektronskim/elektroničkim putem prosljeđuje rukovodiocu organa/rukovoditelju tijela uprave ""Na odobrenje""";"Izrađuje nacrt upravnog akta, ""zaključuje"", i ulaže u omot predmeta u fizičkom obliku, a akt pripremljen za potpis prosljeđuje rukovodiocu organa/rukovoditelju tijela uprave na potpis";"Izrađuje upravni akt, ""zaključuje"", štampa/tiska i u fizičkom obliku akt pripremljen za potpis prosljeđuje rukovodiocu organa/rukovoditelju tijela uprave na potpis";Sve radnje koje mu rukovodilac organa/rukovoditelj tijela naloži;;;1
252;Ukoliko se organ/tijelo uprave ili službeno lice/osoba koja je postupala po predmetu odluči za ob(a)vezno lično/osobno dostavljanje, dužno je na dostavnici:;"U lijevom gornjem uglu/kutu ili na koverti/kuverti/kovertu naznačiti ""Ob(a)vezno lično/osobno dostavljanje""";"U desnom gornjem uglu/kutu ili na povratnici uz kovertu/kuvertu/koverat naznačiti ""Lična/osobna dostava""";"U desnom gornjem uglu/kutu ili na povratnici uz kovertu/kuvertu/koverat naznačiti ""Ob(a)vezno lično/osobno dostavljanje""";"U desnom gornjem uglu/kutu ili na povratnici uz kovertu/kuvertu/koverat naznačiti ""Dostava po članu/članku 88. ZUP-a""";;;3
253;Sva pošta koja se otprema preko poštanske službe razvrstava se na:;Obične pošiljke;Obične pošiljke i preporučene pošiljke, koje se stavljaju u odgovarajuće koverte/kuverte/koverat;Obične pošiljke i hitne/žurne pošiljke;Na hrpe prema adresama dostave;;;2
254;Predmeti koji nastaju radom ili koji se koriste u radu čuvaju se:;Kod službenog lica/osobe koja postupa po predmetu, u priručnoj arhivi/pismohrani ili u glavnoj arhivi/pismohrani organa/tijela uprave;U priručnoj arhivi/pismohrani ili u glavnoj arhivi/pismohrani organa/tijela uprave;Kod službenog lica/osobe koja postupa po predmetu ili u glavnoj arhivi/pismohrani organa/tijela uprave;6 mjeseci, a nakon toga zapisnički uništavaju;;;1
255;Arhivirani predmeti sređuju se: ;Po godinama nastanka, a u okviru godine po klasifikacionim/klasifikacijskim oznakama i rednim brojevima;Po hronološkom/kronološkom redu njihovog nastanka, po godinama nastanka, a u okviru godine po klasifikacionim/klasifikacijskim oznakama i rednim brojevima;Po hronološkom/kronološkom redu njihovog nastanka, po godinama nastanka i rednim brojevima;Po datumu/nadnevku nastanka;;;2
256;Organi/tijela uprave koja imaju svoje arhive/pismohrane i pisarnice, kao i organizacione/organizacijske jedinice koje se nalaze (iz)van sjedišta organa/tijela uprave, završene predmete:;Mogu držati u svojoj arhivi/pismohrani najduže/najdulje dvije godine, poslije tog roka su dužne ove predmete, zajedno s odgovarajućim evidencijama, predati na dalj(nj)e čuvanje arhivi/pismohrani;Mogu držati u svojoj arhivi/pismohrani najduže/najdulje jednu godinu, poslije tog roka su dužne ove predmete, zajedno s odgovarajućim evidencijama, predati na dalj(nj)e čuvanje arhivi/pismohrani;Ne mogu držati u svojoj arhivi/pismohrani i moraju ih predati na dalj(nj)e čuvanje arhivi/pismohrani;Mogu držati u svojoj arhivi/pismohrani i ne moraju ih predati na dalj(nj)e čuvanje arhivi/pismohrani.;;;1
257;Revers sadrži:;Naziv organa/tijela uprave, broj i naziv predmeta, datum/nadnevak preuzimanja, čitak potpis službenog lica/osobe koja preuzima predmet i ovlaštenog/ovlašćenog lica/osobe pisarnice, broj i naziv predmeta za čije rješavanje su potrebni podaci;Naziv organa/tijela uprave, broj i naziv predmeta, datum/nadnevak preuzimanja i vraćanja predmeta, čitak potpis službenog lica/osobe koja preuzima predmet i ovlaštenog/ovlašćenog lica/osobe pisarnice;Naziv organa/tijela uprave, broj i naziv predmeta, datum/tijela preuzimanja i vraćanja predmeta, čitak potpis službenog lica/osobe koja preuzima predmet i ovlaštenog/ovlašćenog lica/osobe pisarnice, broj i naziv predmeta za čije rješavanje su potrebni podaci;Nijedno od navedenog;;;3
258;Revers se izdaje:;U dva primjerka, od kojih jedan ostaje u fascikli u kojoj se čuvaju reversi, a drugi se izdaje podnosiocu/podnositelju zahtjeva;U jednom primjerku, koji ostaje u fascikli u kojoj se čuvaju reversi;U jednom primjerku, koji ostaje u fascikli u kojoj se čuvaju reversi, uz ob(a)vezu da se kopira podnosiocu/podnositelju zahtjeva;U tri primjerka, od kojih jedan ostaje u fascikli u kojoj se čuvaju reversi, drugi se izdaje podnosiocu/podnositelju zahtjeva, a treći se odlaže u arhivu/pismohranu;;;1
259;U arhivi/pismohrani, dokumentacija čiji je rok čuvanja istekao se izlučuje:;Jednom godišnje;Kad god se ukaže potreba uz odobrenje rukovodioca organa/rukovoditelja tijela uprave;Dva puta godišnje;Po potrebi, kad se nagomila;;;1
260;Za potpunost i tačnost/točnost evidencija o arhiviranoj dokumentaciji odgovoran je:;Rukovodilac organa/rukovoditelj tijela uprave;Šef/voditelj pisarnice u sklopu koje se nalazi arhiva/pismohrana;Arhivar;Gradonačelnik;;;3
261;Koji promjer ima pečat Brčko distrikta BiH?;20 mm;40 mm;50 mm;3 cm;;;3
262;Koji oblik ima pečat?;Oblik kruga;Kvadratni oblik;Pravougaoni/pravokutni oblik;Nije propisano;;;1
263;Gdje se čuva pečat Brčko distrikta BiH?;U sefu u Kancelariji/Uredu gradonačelnika;U prostorijama Vlade;Kod šefova odjeljenja/predstojnika odjela;U prostorijama Skupštine.;;;4
264;Tko/ko je odgovoran za upotrebu/uporabu pečata Brčko distrikta BiH:;Predsjednik Skupštine;Šef/voditelj Stručne službe Skupštine Brčko distrikta BiH;Gradonačelnik;Šef Ureda/Kancelarije gradonačelnika;;;2
265;Koji promjer ima pečat odjela/odjeljenja Vlade distrikta BiH?;20 mm;30 mm;40 mm;50 mm;;;3
266;Tko/ko vrši nadzor nad radom ovlaštene/ovlašćene pečatoreznice u pogledu izrade pečata?;Ovlaštena/ovlašćena službena osoba od strane gradonačelnika;Onaj tko/ko će biti zadužen pečatom;Inspektorat Brčko distrikta BiH;Policija Brčko distrikta BiH;;;4
267;Tko/ko je odgovoran je za regulisanje/reguliranje izrade, čuvanje, uništenje pečata, kao i za vođenje evidencije o pečatu institucija Brčko distrikta BiH?;Ovlaštena/ovlašćena službena osoba od strane gradonačelnika;Gradonačelnik;Skupština;Policija Brčko distrikta BiH;;;2
268;Kada se dva organa/tijela izjasne kao nadležni ili nenadležni za rješavanje u istoj upravnoj stvari, kome se podnosi prijedlog za rješavanje sukoba nadležnosti?;Gradonačelniku;Službi za žalbe i pritužbe građana;Pravobranilaštvu/Pravobraniteljstvu;Apelacionoj komisiji/Apelacijskome povjerenstvu;;;4
269;Kojim aktom se odlučuje o izuzeću službenog lica/osobe ovlaštene/ovlašćene za vođenje upravnog postupka?;Zapisnikom o izuzeću;Rješenjem;Odlukom;Zaključkom;;;4
270;Da li je dopuštena i ako jeste, kome se podnosi žalba protiv akta o izuzeću službenog lica/osobe?;Podnosi se žalba gradonačelniku;Podnosi se žalba Apelacionoj komisiji/Apelacijskome povjerenstvu;Podnosi se žalba donosiocu/donositelju akta;Nije dopuštena posebna žalba;;;4
271;Rokovi u upravnom postupku određuju se:;Na sedmice/tjedne/nedjelje;Na dane;Na dane, mjesece i godine;Na sate/časove.;;;3
272;Ob(a)vezno lično/osobno dostavljanje pismena izvršeno je:;Putem elektronske/elektroničke pošte;Putem rukovodioca organa/rukovoditelja tijela uprave;Uručenjem licu/osobi kojoj je namijenjeno;Uručenjem članu uže porodice/obitelji;;;3
273;Šta/što sadrži poziv u upravnom postupku?;Samo ime pozvanog;Sat/čas i mjesto gdje se stranka poziva;Razlozi poziva;Naziv organa/tijela koji poziva, ime, prezime i adresu lica/osobe koja se poziva, mjesto, dan i sat/čas dolaska i predmet zbog kojeg se poziva i u kojem svojstvu te koja pomoćna i dokazna sredstva pozvani treba da ponese;;;4
274;Rješenje u upravnom postupku mora da sadrži:;Samo dispozitiv s obrazloženjem;Samo obrazloženje;naziv organa/tijela, broj i datum/nadnevak, uvod, dispozitiv (izreku), obrazloženje, uputstvo/naputak o pravnom lijeku, potpis ovlaštene/ovlašćene službene osobe/lica i pečat organa/tijela;Samo potvrdu izvršnosti;;;3
275;Žalba protiv zaključka može se izjaviti:;Protiv svakog zaključka u upravnom postupku;Protiv pismeno izdatog zaključka kada je to zakonom predviđeno;Protiv usmeno saopštenog/saopćenog/priopćenog zaključka;Ne može se izjaviti;;;2
276;Protiv kojih rješenja u upravnom postupku se ne može izjaviti žalba?;Rješenja institucija BiH;Rješenja organa/tijela uprave Brčko distrikta BiH;Rješenja protiv kojih nije dopuštena žalba 4 Ne može se izjaviti;;;;3
277;Kakav uticaj/utjecaj ima poništenje rješenja u upravnom postupku na pravne posljedice koje je to rješenje proizvelo?;Ostaju pravne posljedice koje je rješenje proizvelo;Poništavaju se djelomično/djelomično pravne posljedice koje je rješenje proizvelo;Poništavaju se pravne posljedice koje je rješenje proizvelo do dana poništenja;Ne onemogućava se (s)provođenje izvršenja rješenja;;;3
278;Kakav uticaj/utjecaj ima ukidanje rješenja u upravnom postupku na pravne posljedice koje je to rješenje proizvelo?;Poništavaju se pravne posljedice koje je rješenje proizvelo;Ne poništavaju se pravne posljedice koje je rješenje proizvelo do dana ukidanja, ali se onemogućava dalj(nj)e proizvođenje pravnih posljedica ukinutog rješenja;Omogućava se dalj(nj)e proizvođenje pravnih posljedica do izvršnosti rješenja;Mijenja se dispozitiv rješenja.;;;2
